date,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-06-30,EURUSD,35,65,5749.69,10774.4,33197,17747,50944
2026-06-30,GBPUSD,45,55,2730.58,3302.61,16310,11232,27542
2026-06-30,USDJPY,85,15,2731.57,470.07,2464,8987,11451
2026-06-30,GBPJPY,74,26,696,240.91,1189,2507,3696
2026-06-30,USDCAD,94,6,5160.93,323.4,2388,15755,18143
2026-06-30,EURAUD,66,34,944.14,492.42,1762,2892,4654
2026-06-30,EURJPY,62,38,870.9,525.37,1500,2105,3605
2026-06-30,AUDCAD,31,69,3777.3,8510.97,25071,17177,42248
2026-06-30,AUDJPY,47,53,306.84,347.36,1949,1153,3102
2026-06-30,AUDNZD,84,16,4971.06,924.64,3530,11938,15468
2026-06-30,AUDUSD,26,74,1002.21,2893.87,7719,3259,10978
2026-06-30,CADJPY,33,67,98.64,196.1,927,514,1441
2026-06-30,EURCAD,82,18,336.78,75.82,523,2170,2693
2026-06-30,EURCHF,51,49,337.16,324.45,1829,2308,4137
2026-06-30,EURCZK,88,12,0.29,0.04,2,19,21
2026-06-30,EURDKK,0,0,0,0,0,0,0
2026-06-30,EURGBP,33,67,337.23,676.69,4189,2014,6203
2026-06-30,EURHUF,94,6,2.7,0.18,7,18,25
2026-06-30,EURNOK,100,0,1.13,0,0,11,11
2026-06-30,EURNZD,90,10,728.07,81.73,628,3016,3644
2026-06-30,EURPLN,100,0,4.28,0.01,1,28,29
2026-06-30,EURSEK,100,0,0.92,0,0,10,10
2026-06-30,EURTRY,100,0,0.54,0,0,5,5
2026-06-30,GBPCAD,89,11,376.27,45.09,397,3354,3751
2026-06-30,GBPCHF,56,44,149.53,115.92,816,1810,2626
2026-06-30,NZDCAD,17,83,307.21,1476.59,5389,1888,7277
2026-06-30,NZDJPY,10,90,63.45,575.84,1711,672,2383
2026-06-30,NZDUSD,8,92,182.83,2097.02,7082,921,8003
2026-06-30,USDCHF,64,36,1246.13,702.11,2957,4732,7689
2026-06-30,USDCZK,0,100,0,0.54,22,0,22
2026-06-30,USDDKK,0,0,0,0,0,0,0
2026-06-30,USDHKD,100,0,0.02,0,0,1,1
2026-06-30,USDHUF,0,100,0,6.77,64,0,64
2026-06-30,USDMXN,59,41,3.39,2.39,37,31,68
2026-06-30,USDNOK,70,30,1.4,0.59,15,6,21
2026-06-30,USDPLN,0,100,0,0.36,16,0,16
2026-06-30,USDSEK,73,27,5.6,2.11,26,15,41
2026-06-30,USDSGD,94,6,18.34,1.25,47,154,201
2026-06-30,USDTHB,10,90,0.02,0.18,8,2,10
2026-06-30,USDTRY,100,0,0.15,0,0,2,2
2026-06-30,USDZAR,67,33,3.43,1.66,66,84,150
2026-06-30,CHFJPY,75,25,533.3,174.4,1411,2133,3544
2026-06-30,AUDCHF,18,82,220.22,1007.87,2572,1278,3850
2026-06-30,GBPNZD,93,7,1040.27,81.9,639,4219,4858
2026-06-30,NZDCHF,11,89,134.11,1043.97,3259,398,3657
2026-06-30,XAGUSD,34,66,70.77,137.57,1083,265,1348
2026-06-30,XAUUSD,47,53,888.74,984.18,9626,6316,15942
2026-06-30,CADCHF,14,86,94.06,598.99,4409,828,5237
2026-06-30,GBPAUD,85,15,934.41,166.83,1457,3800,5257
2026-06-30,SPA35,0,100,0,0.18,1,0,1
2026-06-30,SGDJPY,99,1,16.02,0.15,15,69,84
2026-06-30,SUGAR,0,100,0,26.4,16,0,16
2026-06-30,GBPNOK,0,100,0,0.01,1,0,1
2026-06-30,US30,36,64,3,5.31,2,1,3
2026-06-30,EURZAR,97,3,0.87,0.03,2,9,11
2026-06-30,AUDSGD,34,66,2.59,4.95,86,18,104
2026-06-30,GBPZAR,0,0,0,0,0,0,0
2026-06-30,GBPSEK,0,100,0,0.04,1,0,1
2026-06-30,CHFSGD,87,13,0.71,0.11,7,26,33
2026-06-30,EURSGD,44,56,11.22,14.51,130,99,229
2026-06-30,GBPSGD,83,17,8.61,1.73,36,48,84
2026-06-30,AUDDKK,0,0,0,0,0,0,0
2026-06-30,EURHKD,38,63,1.08,1.8,45,4,49
2026-06-30,GBPDKK,0,0,0,0,0,0,0
2026-06-30,COPPER,0,100,0,0.03,3,0,3
2026-06-30,COFFEE,80,20,4,1,1,3,4
2026-06-30,EURO50,0,0,0,0,0,0,0
2026-06-30,TRYJPY,0,100,0.02,5.83,10,1,11
2026-06-30,US500,100,0,1.1,0,0,2,2
2026-06-30,GBPPLN,0,0,0,0,0,0,0
2026-06-30,WHEAT,0,100,0,0.01,1,0,1
2026-06-30,COCOA,100,0,0.05,0,0,1,1
2026-06-30,UK100,100,0,1.36,0,0,6,6
2026-06-30,XAUGBP,1,99,0.02,2.23,21,2,23
2026-06-30,COTTON,0,100,0,0.03,3,0,3
2026-06-30,NOKJPY,100,0,1,0,0,1,1
2026-06-30,SP500,0,0,0,0,0,0,0
2026-06-30,ZARJPY,0,100,0,0.06,6,0,6
2026-06-30,HKDJPY,0,0,0,0,0,0,0
2026-06-30,CHFNOK,50,50,0.02,0.02,1,1,2
2026-06-30,GBPTRY,100,0,0.4,0,0,2,2
2026-06-30,USDRUB,0,100,0,0.1,1,0,1
2026-06-30,SEKJPY,0,100,0,0.29,7,0,7
2026-06-30,MSFT,0,0,0,0,0,0,0
2026-06-30,JNJ,0,0,0,0,0,0,0
2026-06-30,EURMXN,100,0,2.2,0,0,24,24
2026-06-30,XAUAUD,50,50,0.13,0.13,5,7,12
2026-06-30,XAUEUR,68,32,3.43,1.6,59,27,86
2026-06-30,WS30,0,0,0,0,0,0,0
2026-06-30,NAS100,2,98,0.01,0.61,7,1,8
2026-06-30,SGDHKD,0,0,0,0,0,0,0
2026-06-30,US2000,100,0,2,0,0,2,2
2026-06-30,FRA40,94,6,4,0.26,1,4,5
2026-06-30,GER30,0,100,0,0.1,1,0,1
2026-06-30,AUDSEK,0,0,0,0,0,0,0
2026-06-30,XAUJPY,21,79,0.14,0.53,9,6,15
2026-06-30,XAUCHF,6,94,0.04,0.68,33,3,36
2026-06-30,USOIL,100,0,0.03,0,0,1,1
2026-06-30,CHFSEK,100,0,0.1,0,0,10,10
2026-06-30,AUS200,50,50,1,1,1,1,2
2026-06-30,GBPMXN,100,0,0.01,0,0,1,1
2026-06-30,JPN225,0,100,0,1,1,0,1
2026-06-30,XAGAUD,0,100,0,0.04,4,0,4
2026-06-30,NOKSEK,3,97,0.06,1.96,171,2,173
2026-06-30,USDX,0,100,0,0.3,1,0,1
2026-06-30,XAGEUR,0,100,0,0.57,36,0,36
2026-06-30,EBAY,0,0,0,0,0,0,0
2026-06-30,VIX,0,100,0,0.2,2,0,2
2026-06-30,CHFHKD,0,0,0,0,0,0,0
2026-06-30,YHOO,0,100,0,8,1,0,1
2026-06-30,XPTUSD,45,55,9.42,11.36,12,29,41
2026-06-30,GBPHKD,0,0,0,0,0,0,0
2026-06-30,XPDUSD,0,100,0,0.13,13,0,13
2026-06-30,CADHKD,0,0,0,0,0,0,0
2026-06-30,USDCNH,9,91,2.18,23.22,44,7,51
2026-06-30,AUDHKD,0,0,0,0,0,0,0
2026-06-30,NZDHKD,0,0,0,0,0,0,0
2026-06-30,AAPL,0,0,0,0,0,0,0
2026-06-30,PFE,0,100,0,0.5,1,0,1
2026-06-30,FB,0,100,0,0.5,1,0,1
2026-06-30,IT40,100,0,4,0,0,1,1
2026-06-30,GS,0,0,0,0,0,0,0
2026-06-30,NKE,0,0,0,0,0,0,0
2026-06-30,BA,0,0,0,0,0,0,0
2026-06-30,CVX,0,0,0,0,0,0,0
2026-06-30,GOOG,0,100,0,1,1,0,1
2026-06-30,XTIUSD,0,100,0,3,3,0,3
2026-06-30,BTCUSD,45,55,105.68,130.98,1610,587,2197
2026-06-30,XBRUSD,0,100,0,0.03,3,0,3
2026-06-30,US30.D,100,0,1,0,0,1,1
2026-06-30,BTCEUR,0,100,0,0.01,1,0,1
2026-06-30,LTCBTC,0,100,0,2,2,0,2
2026-06-30,LTCUSD,4,96,1,24.73,216,1,217
2026-06-30,TWTR,0,100,0,1,1,0,1
2026-06-30,HK50,100,0,0.1,0,0,1,1
2026-06-30,GOPRO,0,100,0,0.01,1,0,1
2026-06-30,XNGUSD,100,0,0.02,0,0,1,1
2026-06-30,APPL,0,0,0,0,0,0,0
2026-06-30,DXU5,0,0,0,0,0,0,0
2026-06-30,DXZ5,0,100,0,2,2,0,2
2026-06-30,OGZD,0,0,0,0,0,0,0
2026-06-30,CN50,33,67,0.2,0.4,4,1,5
2026-06-30,BTCJPY,0,100,0,0.1,10,0,10
2026-06-30,ETHUSD,9,91,52.22,532.88,1605,119,1724
2026-06-30,DSHUSD,3,97,0.01,0.33,2,1,3
2026-06-30,DASH,100,0,2.9,0,0,7,7
2026-06-30,BTCGBP,0,100,0,0.01,1,0,1
2026-06-30,ETCUSD,0,100,0,1,1,0,1
2026-06-30,XRPUSD,6,94,1.38,20,58,11,69
2026-06-30,BCHUSD,0,100,0,1.77,4,0,4
2026-06-30,ZECUSD,100,0,0.9,0,0,3,3
2026-06-30,XMRUSD,14,86,0.01,0.06,4,1,5
2026-06-30,NEOUSD,0,100,0,11.5,10,0,10
2026-06-30,OMGUSD,0,100,0,264,66,0,66
2026-06-30,RIPPLE,100,0,0.1,0,0,1,1
2026-06-30,EOSUSD,0,100,0,1,2,0,2
2026-06-30,IOTUSD,0,100,0,0.1,1,0,1
2026-06-30,QTMUSD,0,100,0,161,46,0,46
2026-06-30,XLMUSD,0,100,0,0.3,1,0,1
2026-06-30,TRXUSD,0,100,0,0.15,1,0,1
2026-06-30,ZRXUSD,100,0,0.02,0,0,2,2
2026-06-30,ADAUSD,2,98,0.1,6.28,10,1,11
2026-06-30,XTZUSD,0,100,0,0.7,2,0,2
2026-06-30,BATUSD,0,100,0,0.15,3,0,3
2026-06-30,FTMUSD,0,100,0,0.01,1,0,1
2026-06-30,FETUSD,0,100,0,0.05,5,0,5
2026-06-30,SCI25,0,100,0,0.2,2,0,2
2026-06-30,CNI30,100,0,0.2,0,0,2,2
2026-06-30,BIO30,0,100,0,0.1,1,0,1
2026-06-30,LAT30,0,100,0,0.1,1,0,1
2026-06-30,JPYX,100,0,1,0,0,1,1
2026-06-30,MKRUSD,0,100,0,0.01,1,0,1
2026-06-30,DOTUSD,0,100,0,0.76,6,0,6
2026-06-30,UNIUSD,0,100,0,15,5,0,5
2026-06-30,VETUSD,0,100,0,0.01,1,0,1
2026-06-30,YFIUSD,0,100,0,0.2,1,0,1
2026-06-30,ICPUSD,0,100,0,0.07,6,0,6
2026-06-30,SOLUSD,5,95,10.05,203.97,113,5,118
2026-06-30,SNXUSD,0,100,0,0.5,1,0,1
2026-06-30,FILUSD,0,100,0,0.34,9,0,9
2026-06-30,AXSUSD,0,100,0,0.14,4,0,4
2026-06-30,ENJUSD,100,0,0.01,0,0,1,1
2026-06-30,ZILUSD,0,100,0,0.1,10,0,10
2026-06-30,LRCUSD,0,100,0,0.3,1,0,1
2026-06-30,GRTUSD,0,100,0,4,4,0,4
2026-06-30,BNTUSD,0,100,0,0.3,1,0,1
